THSR Timetable,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Northbound,,,,,,,,,,,,
,,,,,,,,,,,,
Taoyuan,18:11,↓,18:38,18:51,↓,19:20,19:11,↓,19:38,19:51,,
,,,,,,,,,,,,
Banqiao,18:25,18:21,18:51,19:05,18:47,19:32,19:25,19:21,19:51,20:05,,
,,,,,,,,,,,,
Taipei,18:36,18:32,19:02,19:16,18:57,19:42,19:36,19:32,20:02,20:16,,
,,,,,,,,,,,,
Nangang,18:45,18:40,19:10,19:25,19:05,19:50,19:45,19:40,20:10,20:25,,
,=,=,=,=,=,=,=,=,=,=,,
,,,,,,,,,,,,
,,,,,,,,,,P.7,,
,,,,,,,,,,,,
,,,,,,,,,,,,
THSR Timetable,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Northbound,,,,,,,,,,,,
,,,,,,,,,,,,
Operation Day,"Fr,Su",,,,,Su,"Fr,Su",,Fr~Su,,,
Train NO.,1250,850,676,152,678,1562,1254,854,1682,156,,
,,,,,,,,,,,,
Zuoying,18:15,18:25,18:35,18:55,19:00,,19:15,19:25,19:35,19:55,,
,,,,,,,,,,,,
Tainan,18:28,18:41,18:48,↓,19:13,,19:28,19:41,19:48,↓,,
,,,,,,,,,,,,
Chiayi,↓,19:00,19:08,↓,19:32,,↓,20:00,20:08,↓,,
,,,,,,,,,,,,
Yunlin,↓,19:12,↓,↓,↓,,↓,20:12,↓,↓,,
,,,,,,,,,,,,
Changhua,↓,19:24,↓,↓,↓,,↓,20:24,↓,↓,,
,,,,,,,,,,,,
Taichung,19:08,19:36,19:32,19:39,20:00,20:04,20:08,20:36,20:32,20:39,,
,,,,,,,,,,,,
Miaoli,↓,19:56,↓,↓,↓,20:24,↓,20:56,↓,↓,,
,,,,,,,,,,,,
Hsinchu,↓,20:08,19:57,↓,20:25,20:39,↓,21:08,20:57,↓,,
,,,,,,,,,,,,
Taoyuan,↓,20:20,20:11,↓,20:38,20:51,↓,21:20,21:11,↓,,
,,,,,,,,,,,,
Banqiao,19:47,20:32,20:25,20:21,20:51,21:05,20:47,21:32,21:25,21:21,,
,,,,,,,,,,,,
Taipei,19:57,20:42,20:36,20:32,21:02,21:16,20:57,21:42,21:36,21:32,,
,,,,,,,,,,,,
Nangang,20:05,20:50,20:45,20:40,21:10,21:25,21:05,21:50,21:45,21:40,,
,=,=,=,=,=,=,=,=,=,=,,
,,,,,,,,,,,,
,,,,,,,,,,P.8,,
THSR Timetable,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Northbound,,,,,,,,,,,,
,,,,,,,,,,,,
Operation Day,,Su,Su,,Fr~Su,Su,,Su,,,,
Train NO.,684,1566,1258,858,1688,1330,160,1570,690,862,,
,,,,,,,,,,,,
Zuoying,20:00,,20:15,20:25,20:35,20:45,20:55,,21:05,21:30,,
,,,,,,,,,,,,
Tainan,20:13,,20:28,20:41,20:48,20:58,↓,,21:18,21:44,,
,,,,,,,,,,,,
Chiayi,20:32,,↓,21:00,21:08,21:19,↓,,21:37,22:03,,
,,,,,,,,,,,,
Yunlin,↓,,↓,21:12,↓,21:31,↓,,↓,22:16,,
,,,,,,,,,,,,
Changhua,↓,,↓,21:24,↓,21:42,↓,,↓,22:28,,
,,,,,,,,,,,,
Taichung,21:00,21:04,21:08,21:36,21:32,21:54,21:39,21:51,22:05,22:40,,
,,,,,,,,,,,,
Miaoli,↓,21:24,↓,21:56,↓,↓,↓,22:10,↓,23:00,,
,,,,,,,,,,,,
Hsinchu,21:25,21:39,↓,22:08,21:57,↓,↓,22:23,22:30,23:12,,
,,,,,,,,,,,,
Taoyuan,21:38,21:51,↓,22:20,22:11,↓,↓,22:36,22:43,23:25,,
,,,,,,,,,,,,
Banqiao,21:51,22:05,21:47,22:32,22:25,22:36,22:21,22:49,22:56,23:37,,
,,,,,,,,,,,,
Taipei,22:02,22:16,21:57,22:42,22:36,22:47,22:32,23:01,23:07,23:47,,
,,,,,,,,,,,,
Nangang,22:10,22:25,22:05,22:50,22:45,22:55,22:40,23:10,23:15,23:55,,
,=,=,=,=,=,=,=,=,=,=,,
,,,,,,,,,,,,
,,,,,,,,,,P.9,,
,,,,,,,,,,,,
,,,,,,,,,,,,
THSR Timetable,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Northbound,,,,,,,,,,,,
,,,,,,,,,,,,
Operation Day,"Fr,Su",,,,,,,,,,,
Train NO.,1264,696,294,598,,,,,,,,
,,,,,,,,,,,,
Zuoying,21:40,21:55,22:10,22:55,,,,,,,,
,,,,,,,,,,,,
Tainan,21:53,22:11,22:23,23:08,,,,,,,,
,,,,,,,,,,,,
Chiayi,↓,22:32,↓,23:27,,,,,,,,
,,,,,,,,,,,,
Yunlin,↓,↓,↓,23:39,,,,,,,,
,,,,,,,,,,,,
Changhua,↓,↓,↓,23:49,,,,,,,,
,,,,,,,,,,,,
Taichung,22:30,22:59,23:03,23:59,,,,,,,,
,,,,=,,,,,,,,
Miaoli,↓,↓,↓,,,,,,,,,
,,,,,,,,,,,,
Hsinchu,↓,23:27,↓,,,,,,,,,
,,,,,,,,,,,,
Taoyuan,↓,23:40,↓,,,,,,,,,
,,,,,,,,,,,,
Banqiao,23:11,23:52,23:42,,,,,,,,,
,,,,,,,,,,,,
Taipei,23:21,23:59,23:52,,,,,,,,,
,,=,,,,,,,,,,
Nangang,23:30,,23:59,,,,,,,,,
,=,,=,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,P.10,,
