台   灣   高   鐵   列   車   時   刻   表,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
南下(Southbound),,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
新竹,14:47,14:56,↓,15:22,15:47,15:56,↓,16:22,↓,16:47
,,,,,,,,,,
苗栗,14:58,↓,↓,↓,15:58,↓,↓,↓,↓,16:58
,,,,,,,,,,
台中,15:17,15:25,15:20,15:48,16:17,16:25,16:20,16:48,16:40,17:17
,,,,,,,,,,
彰化,15:30,↓,↓,↓,16:30,↓,↓,↓,↓,17:30
,,,,,,,,,,
雲林,15:41,↓,↓,↓,16:41,↓,↓,↓,↓,17:41
,,,,,,,,,,
嘉義,15:55,15:50,↓,16:14,16:55,16:50,↓,17:14,↓,17:55
,,,,,,,,,,
台南,16:13,16:07,↓,16:33,17:13,17:07,↓,17:33,17:18,18:13
,,,,,,,,,,
左營,16:25,16:20,16:05,16:45,17:25,17:20,17:05,17:45,17:30,18:25
,=,=,=,=,=,=,=,=,=,=
註 : 本時刻表所列各次列車，於起站與中間站均為開車時刻，於終點站為到達時刻。,,,,,,,,,,
,,,,,,,,,,P.5
,,,,,,,,,,
,,,,,,,,,,
台   灣   高   鐵   列   車   時   刻   表,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
南下(Southbound),,,,,,,,,,
,,,,,,,,,,
行駛日,,,五,,五、日,,,,五,
"      車次

站名",D,B,E,D,B',F,D,B,E,D
,661,145,1541,663,1241,845,667,149,1545,669
,,,,,,,,,,
南港,16:10,16:20,16:25,16:35,16:40,17:00,17:10,17:20,17:25,17:35
,,,,,,,,,,
台北,16:21,16:31,16:36,16:46,16:51,17:11,17:21,17:31,17:36,17:46
,,,,,,,,,,
板橋,16:29,16:39,16:46,16:55,16:59,17:19,17:29,17:39,17:46,17:55
,,,,,,,,,,
桃園,16:43,↓,17:01,17:10,↓,17:34,17:43,↓,18:01,18:10
,,,,,,,,,,
新竹,16:56,↓,17:12,17:22,↓,17:47,17:56,↓,18:12,18:22
,,,,,,,,,,
苗栗,↓,↓,17:25,↓,↓,17:58,↓,↓,18:25,↓
,,,,,,,,,,
台中,17:25,17:20,17:42,17:48,17:40,18:17,18:25,18:20,18:42,18:48
,,,=,,,,,,=,
彰化,↓,↓,,↓,↓,18:30,↓,↓,,↓
,,,,,,,,,,
雲林,↓,↓,,↓,↓,18:41,↓,↓,,↓
,,,,,,,,,,
嘉義,17:50,↓,,18:14,↓,18:55,18:50,↓,,19:14
,,,,,,,,,,
台南,18:07,↓,,18:33,18:18,19:13,19:07,↓,,19:33
,,,,,,,,,,
左營,18:20,18:05,,18:45,18:30,19:25,19:20,19:05,,19:45
,=,=,,=,=,=,=,=,,=
註 : 本時刻表所列各次列車，於起站與中間站均為開車時刻，於終點站為到達時刻。,,,,,,,,,,
,,,,,,,,,,P.6
台   灣   高   鐵   列   車   時   刻   表,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
南下(Southbound),,,,,,,,,,
,,,,,,,,,,
行駛日,五、日,,,,五、日,,,五,,五~日
"      車次

站名",B',F,D,B,E,D,B',C,F,D
,1245,849,673,153,1549,675,249,1327,853,1679
,,,,,,,,,,
南港,17:40,18:00,18:10,18:20,18:25,18:35,18:40,18:50,19:00,19:10
,,,,,,,,,,
台北,17:51,18:11,18:21,18:31,18:36,18:46,18:51,19:01,19:11,19:21
,,,,,,,,,,
板橋,17:59,18:19,18:29,18:39,18:46,18:55,18:59,19:10,19:19,19:29
,,,,,,,,,,
桃園,↓,18:34,18:43,↓,19:01,19:10,↓,↓,19:34,19:43
,,,,,,,,,,
新竹,↓,18:47,18:56,↓,19:12,19:22,↓,↓,19:47,19:56
,,,,,,,,,,
苗栗,↓,18:58,↓,↓,19:25,↓,↓,↓,19:58,↓
,,,,,,,,,,
台中,18:40,19:17,19:25,19:20,19:42,19:48,19:40,19:54,20:17,20:25
,,,,,=,,,,,
彰化,↓,19:30,↓,↓,,↓,↓,20:06,20:30,↓
,,,,,,,,,,
雲林,↓,19:41,↓,↓,,↓,↓,20:17,20:41,↓
,,,,,,,,,,
嘉義,↓,19:55,19:50,↓,,20:14,↓,20:30,20:55,20:50
,,,,,,,,,,
台南,19:18,20:13,20:07,↓,,20:33,20:18,20:48,21:13,21:07
,,,,,,,,,,
左營,19:30,20:25,20:20,20:05,,20:45,20:30,21:00,21:25,21:20
